geo,year,median_age,dep_ratio,median_age_f,median_age_m,gender_gap
BG,1960,30.3,69.8,30.8,29.8,1.0
BG,1961,30.6,69.7,31.1,30.1,1.0
BG,1962,30.9,70.1,31.4,30.4,1.0
BG,1963,31.1,69.9,31.7,30.7,1.0
BG,1964,31.5,70.0,32.0,31.0,1.0
BG,1965,31.8,69.7,32.3,31.3,0.9999999999999964
BG,1966,32.2,69.6,32.7,31.7,1.0000000000000036
BG,1967,32.5,68.8,33.0,32.0,1.0
BG,1968,32.8,68.4,33.4,32.3,1.1000000000000014
BG,1969,33.0,68.3,33.6,32.4,1.2000000000000028
BG,1970,33.2,68.1,33.8,32.5,1.2999999999999972
BG,1971,33.3,67.7,34.0,32.7,1.2999999999999972
BG,1972,33.4,67.9,34.2,32.7,1.5
BG,1973,33.5,67.8,34.3,32.8,1.5
BG,1974,33.6,67.8,34.4,32.8,1.6000000000000014
BG,1975,33.6,68.1,34.4,32.8,1.6000000000000014
BG,1976,33.7,68.3,34.6,33.0,1.6000000000000014
BG,1977,33.8,68.5,34.6,33.0,1.6000000000000014
BG,1978,33.8,69.1,34.7,33.0,1.7000000000000028
BG,1979,34.0,68.6,34.9,33.1,1.7999999999999972
BG,1980,34.1,69.4,34.9,33.3,1.6000000000000014
BG,1981,34.3,69.7,35.1,33.4,1.7000000000000028
BG,1982,34.5,68.5,35.4,33.6,1.7999999999999972
BG,1983,34.7,67.0,35.6,33.8,1.8000000000000043
BG,1984,34.9,66.1,35.8,34.0,1.7999999999999972
BG,1985,35.1,66.2,36.1,34.2,1.8999999999999986
BG,1986,35.5,66.3,36.4,34.6,1.7999999999999972
BG,1987,35.7,67.2,36.6,34.7,1.8999999999999986
BG,1988,35.9,68.1,36.9,34.8,2.1000000000000014
BG,1989,36.0,68.4,37.1,35.0,2.1000000000000014
BG,1990,36.5,68.7,37.6,35.4,2.200000000000003
BG,1991,36.8,68.9,38.0,35.6,2.3999999999999986
BG,1992,37.1,68.9,38.3,35.9,2.3999999999999986
BG,1993,37.5,68.8,38.8,36.3,2.5
BG,1994,37.8,68.8,39.1,36.5,2.6000000000000014
BG,1995,38.0,68.0,39.4,36.6,2.799999999999997
BG,1996,38.3,67.3,39.7,36.8,2.9000000000000057
BG,1997,38.5,66.1,40.0,36.9,3.1000000000000014
BG,1998,38.7,65.3,40.2,37.1,3.1000000000000014
BG,1999,38.9,64.3,40.5,37.3,3.200000000000003
BG,2000,39.1,63.8,40.8,37.5,3.299999999999997
BG,2001,39.3,63.1,41.0,37.6,3.3999999999999986
BG,2002,40.3,62.9,42.1,38.5,3.6000000000000014
BG,2003,40.6,62.1,42.4,38.8,3.6000000000000014
BG,2004,40.9,61.3,42.8,39.0,3.799999999999997
BG,2005,41.2,60.6,43.2,39.2,4.0
BG,2006,41.5,60.0,43.5,39.4,4.100000000000001
BG,2007,41.7,59.4,43.8,39.6,4.199999999999996
BG,2008,41.9,58.9,44.0,39.8,4.200000000000003
BG,2009,42.0,58.6,44.3,40.0,4.299999999999997
BG,2010,42.2,58.3,44.5,40.3,4.200000000000003
BG,2011,42.5,58.4,44.7,40.6,4.100000000000001
BG,2012,42.7,59.0,44.8,40.8,4.0
BG,2013,43.3,61.2,45.5,41.2,4.299999999999997
BG,2014,43.7,62.0,45.9,41.6,4.299999999999997
BG,2015,44.2,63.1,46.3,42.0,4.299999999999997
BG,2016,44.6,64.6,46.8,42.4,4.399999999999999
BG,2017,45.0,65.8,47.2,42.8,4.400000000000006
BG,2018,45.4,67.0,47.7,43.3,4.400000000000006
BG,2019,45.8,68.6,48.2,43.7,4.5
BG,2020,46.3,69.8,48.6,44.2,4.399999999999999
BG,2021,46.4,70.7,48.7,44.3,4.400000000000006
BG,2022,46.7,72.5,48.9,44.6,4.299999999999997
BG,2023,46.8,73.5,49.0,44.7,4.299999999999997
BG,2024,47.1,74.7,49.3,44.9,4.399999999999999
BG,2025,47.3,75.6,49.5,45.1,4.399999999999999
DE,1960,34.4,65.7,37.0,31.4,5.600000000000001
DE,1961,34.4,64.9,37.1,31.4,5.700000000000003
DE,1962,34.5,64.8,37.4,31.5,5.899999999999999
DE,1963,34.4,65.5,37.5,31.5,6.0
DE,1964,34.4,66.5,37.5,31.3,6.199999999999999
DE,1965,34.3,67.6,37.5,31.1,6.399999999999999
DE,1966,34.2,69.7,37.4,31.1,6.299999999999997
DE,1967,34.0,71.6,37.4,31.2,6.199999999999999
DE,1968,34.0,73.6,37.4,31.4,6.0
DE,1969,34.0,74.5,37.3,31.5,5.799999999999997
DE,1970,34.0,74.7,37.0,31.6,5.399999999999999
DE,1971,34.3,75.5,37.0,32.0,5.0
DE,1972,34.4,75.9,37.0,32.2,4.799999999999997
DE,1973,34.6,76.0,37.1,32.5,4.600000000000001
DE,1974,34.8,75.9,37.3,32.8,4.5
DE,1975,35.2,76.2,37.5,33.1,4.399999999999999
DE,1976,35.6,76.2,37.9,33.5,4.399999999999999
DE,1977,36.1,75.9,38.2,33.7,4.5
DE,1978,36.4,75.5,38.6,33.9,4.700000000000003
DE,1979,36.7,74.8,39.0,34.1,4.899999999999999
DE,1980,36.8,73.8,39.3,34.0,5.299999999999997
DE,1981,36.9,72.0,39.6,33.9,5.700000000000003
DE,1982,37.1,69.5,39.8,34.1,5.699999999999996
DE,1983,37.1,66.8,40.0,34.3,5.700000000000003
DE,1984,37.3,64.0,40.3,34.7,5.599999999999994
DE,1985,37.4,61.9,40.5,34.9,5.600000000000001
DE,1986,37.6,60.6,40.6,35.2,5.399999999999999
DE,1987,37.7,59.5,40.5,35.4,5.100000000000001
DE,1988,38.2,58.3,40.6,36.0,4.600000000000001
DE,1989,38.3,57.4,40.5,36.1,4.399999999999999
DE,1990,38.1,56.7,40.4,36.0,4.399999999999999
DE,1991,37.6,57.8,39.9,35.5,4.399999999999999
DE,1992,37.7,57.6,39.9,35.7,4.199999999999996
DE,1993,37.8,57.6,40.0,35.8,4.200000000000003
DE,1994,38.0,58.0,40.1,36.0,4.100000000000001
DE,1995,38.2,58.5,40.3,36.4,3.8999999999999986
DE,1996,38.5,59.0,40.4,36.7,3.6999999999999957
DE,1997,38.7,59.3,40.6,37.1,3.5
DE,1998,39.1,59.6,40.9,37.5,3.3999999999999986
DE,1999,39.4,59.6,41.2,37.9,3.3000000000000043
DE,2000,39.8,60.2,41.4,38.3,3.1000000000000014
DE,2001,40.2,60.7,41.7,38.8,2.9000000000000057
DE,2002,40.6,61.3,42.0,39.2,2.799999999999997
DE,2003,40.9,61.8,42.4,39.6,2.799999999999997
DE,2004,41.4,62.6,42.7,40.1,2.6000000000000014
DE,2005,41.8,63.6,43.1,40.6,2.5
DE,2006,42.3,64.6,43.6,41.1,2.5
DE,2007,42.8,65.3,44.0,41.6,2.3999999999999986
DE,2008,43.2,65.2,44.4,42.1,2.299999999999997
DE,2009,43.7,65.1,44.9,42.6,2.299999999999997
DE,2010,44.2,65.1,45.3,43.1,2.1999999999999957
DE,2011,44.7,64.7,45.8,43.5,2.299999999999997
DE,2012,45.0,64.2,46.2,43.9,2.3000000000000043
DE,2013,45.4,64.0,46.5,44.2,2.299999999999997
DE,2014,45.6,64.1,46.8,44.4,2.3999999999999986
DE,2015,45.9,64.5,47.1,44.6,2.5
DE,2016,45.8,65.0,47.2,44.3,2.9000000000000057
DE,2017,45.9,65.7,47.3,44.3,3.0
DE,2018,46.0,66.1,47.5,44.3,3.200000000000003
DE,2019,46.0,66.6,47.6,44.2,3.3999999999999986
DE,2020,45.9,67.2,47.6,44.1,3.5
DE,2021,45.9,67.8,47.7,44.1,3.6000000000000014
DE,2022,45.8,68.6,47.6,44.0,3.6000000000000014
DE,2023,45.7,69.1,47.4,44.0,3.3999999999999986
DE,2024,45.5,69.8,47.3,43.8,3.5
DE,2025,45.5,70.6,47.2,43.8,3.4000000000000057
ES,1960,29.6,77.3,30.8,28.3,2.5
ES,1961,,,,,
ES,1962,29.6,78.0,31.0,28.2,2.8000000000000007
ES,1963,29.8,78.6,31.2,28.3,2.8999999999999986
ES,1964,30.0,79.2,31.3,28.5,2.8000000000000007
ES,1965,30.2,79.8,31.5,28.6,2.8999999999999986
ES,1966,30.4,80.3,31.7,28.8,2.8999999999999986
ES,1967,30.4,80.5,31.9,28.8,3.099999999999998
ES,1968,30.3,81.5,31.7,28.7,3.0
ES,1969,30.2,82.0,31.7,28.7,3.0
ES,1970,30.2,82.6,31.7,28.7,3.0
ES,1971,30.1,83.2,31.7,28.5,3.1999999999999993
ES,1972,30.0,83.6,31.6,28.4,3.200000000000003
ES,1973,29.9,83.8,31.6,28.5,3.1000000000000014
ES,1974,30.0,84.1,31.5,28.6,2.8999999999999986
ES,1975,30.0,84.6,31.5,28.6,2.8999999999999986
ES,1976,30.1,85.0,31.6,28.7,2.900000000000002
ES,1977,30.2,85.3,31.6,28.8,2.8000000000000007
ES,1978,30.3,85.3,31.8,28.9,2.900000000000002
ES,1979,30.5,85.0,31.9,29.0,2.8999999999999986
ES,1980,30.7,84.6,32.1,29.2,2.900000000000002
ES,1981,30.8,83.9,32.3,29.3,2.9999999999999964
ES,1982,31.0,82.9,32.6,29.5,3.1000000000000014
ES,1983,31.2,81.7,32.8,29.7,3.099999999999998
ES,1984,31.5,80.2,33.0,30.0,3.0
ES,1985,31.7,78.5,33.3,30.2,3.099999999999998
ES,1986,32.0,77.3,33.6,30.5,3.1000000000000014
ES,1987,32.3,76.1,33.9,30.8,3.099999999999998
ES,1988,32.6,75.1,34.2,31.2,3.0000000000000036
ES,1989,33.0,74.1,34.5,31.6,2.8999999999999986
ES,1990,33.4,73.1,34.8,32.0,2.799999999999997
ES,1991,33.7,71.9,35.2,32.4,2.8000000000000043
ES,1992,34.1,70.8,35.5,32.7,2.799999999999997
ES,1993,34.4,69.5,35.8,33.1,2.6999999999999957
ES,1994,34.8,68.3,36.2,33.5,2.700000000000003
ES,1995,35.2,67.0,36.6,33.8,2.8000000000000043
ES,1996,35.6,65.7,36.9,34.2,2.6999999999999957
ES,1997,36.0,64.4,37.3,34.6,2.6999999999999957
ES,1998,36.4,63.3,37.7,35.0,2.700000000000003
ES,1999,36.8,62.2,38.1,35.5,2.6000000000000014
ES,2000,37.2,61.3,38.5,35.9,2.6000000000000014
ES,2001,37.6,60.5,38.9,36.3,2.6000000000000014
ES,2002,37.9,60.0,39.3,36.7,2.5999999999999943
ES,2003,38.1,59.2,39.4,36.9,2.5
ES,2004,38.3,58.3,39.6,37.1,2.5
ES,2005,38.6,57.2,39.9,37.3,2.6000000000000014
ES,2006,38.8,57.2,40.1,37.5,2.6000000000000014
ES,2007,39.0,56.9,40.3,37.8,2.5
ES,2008,39.2,56.6,40.5,38.0,2.5
ES,2009,39.4,57.0,40.7,38.3,2.4000000000000057
ES,2010,39.9,57.7,41.1,38.7,2.3999999999999986
ES,2011,40.3,58.5,41.5,39.2,2.299999999999997
ES,2012,40.8,59.2,41.9,39.7,2.1999999999999957
ES,2013,41.3,59.9,42.4,40.2,2.1999999999999957
ES,2014,41.8,61.0,42.9,40.7,2.1999999999999957
ES,2015,42.3,61.9,43.4,41.2,2.1999999999999957
ES,2016,42.7,62.4,43.9,41.7,2.1999999999999957
ES,2017,43.2,63.0,44.3,42.1,2.1999999999999957
ES,2018,43.5,63.5,44.7,42.5,2.200000000000003
ES,2019,43.9,63.7,45.0,42.8,2.200000000000003
ES,2020,44.2,63.8,45.3,43.2,2.0999999999999943
ES,2021,44.6,63.7,45.7,43.6,2.1000000000000014
ES,2022,45.1,64.1,46.2,44.0,2.200000000000003
ES,2023,45.3,64.1,46.4,44.2,2.1999999999999957
ES,2024,45.6,64.2,46.7,44.4,2.3000000000000043
ES,2025,45.8,64.3,47.0,44.6,2.3999999999999986
FR,1960,,,,,
FR,1961,,,,,
FR,1962,,,,,
FR,1963,,,,,
FR,1964,,,,,
FR,1965,,,,,
FR,1966,,,,,
FR,1967,,,,,
FR,1968,,,,,
FR,1969,,,,,
FR,1970,,,,,
FR,1971,,,,,
FR,1972,,,,,
FR,1973,,,,,
FR,1974,,,,,
FR,1975,,,,,
FR,1976,,,,,
FR,1977,,,,,
FR,1978,,,,,
FR,1979,,,,,
FR,1980,,,,,
FR,1981,,,,,
FR,1982,,,,,
FR,1983,,,,,
FR,1984,,,,,
FR,1985,,,,,
FR,1986,,,,,
FR,1987,,,,,
FR,1988,,,,,
FR,1989,,,,,
FR,1990,,,,,
FR,1991,34.7,71.5,36.0,33.4,2.6000000000000014
